ARGO_POSITION_LATITUDE,buoyId,type,ARGO_POSITION_LONGITUDE,status
-20.866,2025-01-07 03:29:03,argo,60.765,new
22.827,2025-09-06 13:05:40,argo,60.787,new
14.711,2025-09-07 13:27:30,argo,65.829,new
9.224,2025-01-05 06:16:53,argo,70.413,new
-22.778,2025-01-07 15:29:12,argo,68.062,new
-34.217,2025-01-08 18:46:04,argo,47.087,new
20.680965,2025-09-09 05:25:55,argo,62.182198,new
17.893806,2025-09-10 09:04:49,argo,68.294174,new
-3.838,2025-09-15 20:29:33,argo,87.2355,new
9.71704,2025-09-12 03:28:25,argo,52.61257,new
6.23011,2025-09-12 21:47:01,argo,65.12676,new
-6.04281,2025-09-12 02:22:59,argo,95.3904,new
6.73441,2025-09-12 10:36:42,argo,67.93764,new
-4.68976,2025-09-07 02:39:34,argo,72.25307,new
11.61312,2025-09-08 23:27:14,argo,62.67296,new
-8.00698,2025-09-15 05:49:21,argo,74.42017,new
-28.28628,2025-09-08 12:33:02,argo,105.82286,new
9.93322,2025-09-09 13:57:25,argo,54.77503,new
-6.22592,2025-09-15 02:05:05,argo,56.48857,new
13.34354,2025-09-08 06:05:05,argo,61.75987,new
-6.55964,2025-09-07 09:31:03,argo,72.56991,new
10.61861,2025-09-09 03:00:21,argo,60.11136,new
3.4663,2025-09-13 03:16:36,argo,88.2733,new
-6.5032,2025-09-16 13:20:25,argo,58.4325,new
-43.5535,2025-01-07 12:15:37,argo,35.0494,new
-49.94018,2025-09-14 02:11:38,argo,134.96929,new
-52.78728,2025-09-10 15:25:38,argo,132.44636,new
-32.53018,2025-09-08 09:07:35,argo,85.3904,new
-13.5469,2025-09-15 02:21:02,argo,81.527,new
-34.55404,2025-01-08 16:51:41,argo,69.16943,new
-20.1618,2025-09-15 05:00:22,argo,41.742,new
-40.632,2025-09-15 22:18:23,argo,82.924,new
-63.347,2025-01-11 01:22:33,argo,103.229,new
-49.039,2025-09-08 23:56:55,argo,41.588,new
-20.8789,2025-01-11 00:26:11,argo,85.2617,new
-39.6456,2025-09-15 21:42:17,argo,104.9367,new
-40.0333,2025-09-08 14:07:17,argo,128.6867,new
-41.4672,2025-09-12 19:20:19,argo,137.9195,new
-13.8639,2025-01-02 02:26:05,argo,105.2505,new
-9.4775,2025-09-07 21:36:40,argo,98.3943,new
-14.3942,2025-09-07 09:51:11,argo,117.3309,new
-11.5538,2025-09-10 04:01:22,argo,98.2928,new
-55.48127,2025-09-07 01:36:58,argo,27.83827,new
-58.70467,2025-09-15 01:22:01,argo,91.93722,new
-32.0394,2025-01-05 05:21:26,argo,49.5633,new
-34.0251,2025-09-16 21:28:37,argo,114.24712,new
-25.27516,2025-09-11 16:51:43,argo,86.64429,new
-27.42339,2025-09-11 12:18:01,argo,101.3557,new
-29.76567,2025-09-13 09:02:14,argo,90.67923,new
