lng,lat,speed,direction
92.679599,10.3511626,34.437,177.1
92.679599,10.4054078,38.828,200.4
92.679599,10.4596526,28.586,189.7
92.7343729,10.2969124,27.903,181.5
92.7343825,10.3511577,27.029,174.1
92.7343922,10.4054028,27.36,184.6
92.7344019,10.4596477,21.699,184.5
92.7344117,10.5138924,27.521,43.4
92.7344809,10.8936003,14.906,14.5
92.7344909,10.9478435,5.719,18.7
92.734501,11.0020866,13.149,101.2
92.7891468,10.2968978,18.602,140.2
92.789166,10.351143,23.22,149.4
92.7891854,10.4053881,16.648,130.6
92.7892048,10.4596329,17.056,157.8
92.7892243,10.5138776,16.787,72.4
92.7893628,10.8935853,20.475,94.2
92.7893828,10.9478285,14.1,114.5
92.789403,11.0020716,18.101,121.2
92.7894232,11.0563143,8.101,158.5
92.7894435,11.1105569,18.412,248.9
92.7894638,11.1647994,15.622,248.2
92.7894843,11.2190416,8.457,252.7
92.7895048,11.2732836,3.43,153.1
92.7895253,11.3275254,12.119,125.5
92.789546,11.381767,21.156,107.0
92.7895667,11.4360085,23.947,108.8
92.7895875,11.4902497,32.148,97.5
92.7896084,11.5444908,38.371,96.9
92.7896293,11.5987316,40.954,92.8
92.8439206,10.2968733,24.473,98.0
92.8439495,10.3511185,30.986,85.8
92.8439785,10.4053636,22.484,98.1
92.8440076,10.4596083,18.969,116.0
92.8440369,10.513853,16.823,117.1
92.8442445,10.8935604,22.759,115.0
92.8442746,10.9478035,33.783,124.6
92.8443049,11.0020465,17.929,137.6
92.8443352,11.0562892,10.849,161.6
92.8443656,11.1105318,14.723,219.7
92.8443961,11.1647742,14.59,238.6
92.8444268,11.2190164,4.062,198.1
92.8444576,11.2732584,9.146,113.9
92.8444884,11.3275001,16.354,108.4
92.8445194,11.3817417,18.703,106.1
92.8445505,11.4359831,27.437,100.3
92.8445817,11.4902243,33.558,93.1
92.844613,11.5444653,31.58,91.7
92.8446444,11.5987061,31.989,89.0
92.8446759,11.6529466,29.431,75.3
92.8447076,11.707187,28.719,75.9
92.898733,10.3510842,34.315,79.7
92.8987717,10.4053292,28.846,90.3
92.8988105,10.4595739,26.311,138.4
92.8991264,10.8935255,26.54,121.2
92.8991665,10.9477686,22.708,137.2
92.8992068,11.0020115,18.602,134.7
92.8992473,11.0562541,14.727,180.2
92.8992878,11.1104966,11.759,195.1
92.8993285,11.1647389,6.465,161.6
92.8993694,11.2189811,6.746,140.3
92.8994104,11.273223,10.593,108.8
92.8994516,11.3274647,13.6,96.3
92.8994929,11.3817062,18.875,92.0
92.8995343,11.4359475,21.494,89.8
92.8995759,11.4901887,27.056,80.5
92.8996177,11.5444296,24.415,68.5
92.8996595,11.5986703,25.037,58.6
92.8997016,11.6529108,23.142,54.1
92.8997438,11.7071511,21.425,62.0
92.8997861,11.7613912,27.697,92.7
92.9539583,10.8392373,9.39,122.6
92.9540083,10.8934805,23.654,137.5
92.9540584,10.9477236,21.469,144.4
92.9541088,11.0019664,19.546,147.9
92.9541593,11.0562089,16.261,150.3
92.95421,11.1104514,13.929,163.0
92.9542609,11.1646936,9.875,129.4
92.954312,11.2189357,9.972,130.7
92.9543633,11.2731775,13.191,103.4
92.9544147,11.3274191,19.623,79.6
92.9544663,11.3816606,22.737,74.7
92.9545182,11.4359018,25.903,64.9
92.9545701,11.4901429,20.837,59.2
92.9546223,11.5443837,22.448,39.9
92.9546747,11.5986244,25.119,30.0
92.9547272,11.6528647,20.407,50.5
92.9547799,11.707105,19.806,75.5
92.9548329,11.761345,29.86,100.1
92.954886,11.8155849,28.08,107.4
93.0085334,10.5679642,23.571,150.9
93.0085923,10.6222083,11.912,144.6
93.0088301,10.8391825,22.398,183.0
93.0088901,10.8934256,19.037,164.1
93.0089503,10.9476686,22.023,141.4
93.0090107,11.0019113,21.593,147.7
93.0090714,11.0561538,19.389,163.8
93.0091322,11.1103961,16.552,153.3
93.0091933,11.1646382,17.328,120.4
93.0092546,11.2188802,14.413,115.9
93.0093161,11.273122,17.956,91.8
93.0093778,11.3273634,18.346,81.5
93.0094398,11.3816048,24.234,63.9
93.009502,11.4358459,23.858,56.7
93.0095643,11.4900869,22.188,45.2
93.009627,11.5443276,23.599,29.9
93.0096898,11.5985682,21.541,32.5
93.0097528,11.6528085,17.493,44.9
93.0098161,11.7070486,8.875,70.6
93.0098796,11.7612886,16.98,101.3
93.0099433,11.8155283,8.84,114.1
93.0100073,11.8697678,18.68,128.6
93.0632191,10.4594116,32.59,173.9
93.0632873,10.5136559,20.01,159.3
93.0633558,10.5679,16.689,162.7
93.0634245,10.622144,12.598,164.1
93.0634935,10.6763877,13.45,177.0
93.0636322,10.7848746,25.141,181.7
93.0637019,10.8391178,22.152,182.9
93.0637719,10.8933608,20.333,174.0
93.0638421,10.9476036,20.314,138.3
93.0639126,11.0018462,20.718,160.0
93.0639834,11.0560885,20.833,145.4
93.0640544,11.1103308,21.466,142.8
93.0641256,11.1645728,19.074,133.6
93.0641971,11.2188146,18.291,109.6
93.0642689,11.2730563,22.8,83.7
93.0643409,11.3272976,23.195,73.8
93.0644132,11.3815389,23.607,65.9
93.0644857,11.4357799,22.485,44.9
93.0645585,11.4900207,21.594,40.3
93.0646316,11.5442614,23.095,25.6
93.0647049,11.5985018,20.739,17.9
93.0647784,11.652742,12.024,20.8
93.0648523,11.706982,6.495,359.4
93.0649263,11.7612218,3.009,95.8
93.0650007,11.8154614,4.866,123.4
93.1179442,10.4050935,21.059,183.4
93.1180219,10.4593378,18.78,182.5
93.1180998,10.513582,14.252,172.1
93.1181781,10.567826,15.27,179.5
93.1182566,10.6220698,14.173,183.5
93.1183355,10.6763134,15.007,182.4
93.118494,10.7848,23.937,190.0
93.1185737,10.8390431,22.186,183.9
93.1186537,10.8932859,28.119,191.8
93.1187339,10.9475286,26.436,186.7
93.1188145,11.0017711,23.43,161.7
93.1188954,11.0560133,24.051,149.0
93.1189765,11.1102554,24.791,143.5
93.1190579,11.1644973,21.398,136.1
93.1191397,11.218739,21.751,106.2
93.1192217,11.2729805,25.618,85.0
93.119304,11.3272217,22.884,78.5
93.1193866,11.3814628,25.36,64.4
93.1194695,11.4357037,24.554,49.6
93.1195527,11.4899444,20.196,34.4
93.1196362,11.5441849,19.072,22.0
93.1197199,11.5984252,11.214,10.5
93.119804,11.6526652,11.834,346.3
93.1198884,11.7069051,4.237,16.0
93.119973,11.7611448,4.644,144.0
93.120058,11.8153843,28.602,125.3
93.1201432,11.8696236,91.978,117.2
93.1202288,11.9238625,77.669,117.9
93.1203146,11.9781014,85.414,119.8
93.1727372,10.40501,21.285,202.9
93.1728246,10.4592542,17.999,200.5
93.1729123,10.5134982,12.058,202.3
93.1730003,10.5677421,11.835,192.2
93.1730887,10.6219857,10.491,188.4
93.1731773,10.6762292,12.566,202.1
93.1734453,10.8389584,34.138,178.7
93.1735353,10.8932011,25.55,177.1
93.1736256,10.9474436,23.977,169.2
93.1737163,11.0016859,26.722,175.4
93.1738072,11.055928,25.726,157.1
93.1738985,11.1101699,26.591,143.1
93.1739901,11.1644117,26.013,129.7
93.1740821,11.2186532,24.844,114.0
93.1741743,11.2728946,25.968,94.1
93.1742669,11.3271356,25.345,76.2
93.1743599,11.3813766,24.658,61.5
93.1744531,11.4356173,23.3,61.0
93.1745467,11.4898579,16.965,50.1
93.1746406,11.5440982,13.936,51.6
93.1747349,11.5983384,9.92,345.9
93.1748294,11.6525783,5.052,332.1
93.1749244,11.706818,5.624,176.3
93.1750196,11.7610575,3.209,173.6
93.1751152,11.8152969,30.42,124.1
93.1752111,11.869536,74.197,121.2
93.1753073,11.9237748,81.052,119.2
93.1754039,11.9780135,81.242,118.8
93.1755008,12.032252,76.805,117.6
93.2275302,10.4049168,23.876,218.4
93.2276273,10.4591607,15.92,217.1
93.2277248,10.5134046,12.859,212.4
93.2278226,10.5676483,16.383,203.1
93.2279208,10.6218917,12.046,189.8
93.2280193,10.6761351,11.006,206.5
93.2285174,10.9473486,23.21,165.5
93.2286181,11.0015908,25.908,176.0
93.2287192,11.0558327,30.108,165.5
93.2288206,11.1100744,25.506,130.6
93.2289224,11.164316,27.739,115.8
93.2290245,11.2185574,26.266,99.1
93.2291271,11.2727986,25.825,89.8
93.2292299,11.3270395,28.067,69.5
93.2293332,11.3812802,22.224,68.0
93.2294368,11.4355208,21.921,81.8
93.2295408,11.4897612,14.042,79.4
93.2296451,11.5440014,9.56,90.2
93.2297499,11.5982414,9.777,130.6
93.2298549,11.6524811,10.635,176.2
93.2299604,11.7067206,16.08,172.6
93.2300662,11.76096,10.684,185.1
93.2301724,11.8151991,30.033,123.9
93.230279,11.8694381,74.86,121.9
93.2303859,11.9236767,85.404,121.4
93.2304932,11.9779153,84.558,120.6
93.2306008,12.0321536,84.256,121.6
93.2823232,10.4048137,25.466,227.7
93.28243,10.4590574,18.725,228.8
93.2825372,10.5133011,19.179,216.5
93.2826448,10.5675446,18.715,205.0
93.2827528,10.6217879,13.78,189.3
93.2828612,10.676031,18.049,187.8
93.28297,10.7302738,15.849,196.3
93.2835199,11.0014856,24.096,171.1
93.283631,11.0557273,24.741,162.1
93.2837426,11.1099689,25.148,133.0
93.2838546,11.1642103,25.267,116.6
93.283967,11.2184515,28.488,103.9
93.2840797,11.2726925,28.745,77.3
93.2841929,11.3269332,26.644,79.9
93.2843065,11.3811738,22.688,81.4
93.2844205,11.4354142,18.236,105.0
93.2845348,11.4896543,17.305,131.0
93.2846496,11.5438943,25.324,146.4
93.2847648,11.5981341,25.777,149.3
93.2848804,11.6523736,29.055,152.2
93.2852296,11.8150911,107.901,129.5
93.2853468,11.8693299,87.493,126.1
93.2854644,11.9235684,91.428,124.6
93.2855825,11.9778067,93.277,122.9
93.2857009,12.0320448,65.761,122.4
93.2858197,12.0862828,56.6,118.7
93.3372327,10.4589443,23.567,224.5
93.3373496,10.5131878,18.951,221.0
93.337467,10.567431,20.369,212.1
93.3375848,10.6216741,21.274,201.2
93.3377031,10.6759171,21.254,196.0
93.3378217,10.7301597,19.396,195.0
93.3379408,10.7844022,12.276,188.6
93.3386646,11.1098533,24.908,112.4
93.3387868,11.1640945,21.487,93.3
